新款	新款，读音xīn kuǎn，汉语词语，指新的款式。
书包	书包，是指用布、皮革等制成的袋子。学生用来携带课本、文具用品。根据消费者品位的改变，书包发展出了一种更能减轻学生负担的书包——箱包。箱包的材质更加多样化。真皮、PU、涤纶、帆布、棉麻等质地箱包引领时尚潮流。同时，在越来越标榜个性的时代，简约、复古、卡通等各类风格也从不同侧面迎合时尚人士张扬个性的需求。
中老年	不同的文化圈对于老年有着不同的定义，由于生活质量的提高，生命周期变长，各年龄的分界线开始模糊，中老年一般是指人类生命历程中青年之后的阶段，包括中年和老年。世界卫生组织对老年人的定义为60周岁以上的人群为老年。老年这个概念在中国一般界定，一般指男人60岁之后，女人55岁之后直至生命结束的这一阶段。
床单	床单，读音为chuáng dān，是床上用的纺织品之一，也称被单、被罩。一般采用阔幅手感柔软保暖性好的织物。
带盖	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
巧克力	巧克力（chocolate也译朱古力），原产中南美洲，其鼻祖是“xocolatl”，意为“苦水”。其主要原料可可豆产于赤道南北纬18度以内的狭长地带。作饮料时，常称为“热巧克力”或可可亚。
音箱	音箱指可将音频信号变换为声音的一种设备。通俗的讲就是指音箱主机箱体或低音炮箱体内自带功率放大器，对音频信号进行放大处理后由音箱本身回放出声音，使其声音变大。音箱是整个音响系统的终端，其作用是把音频电能转换成相应的声能，并把它辐射到空间去。它是音响系统极其重要的组成部分，担负着把电信号转变成声信号供人的耳朵直接聆听的任务。
chic	Chic，拼音[英][ʃi:k][美][ʃik]，意思是adj.<法>漂亮的/n.高雅，雅致。
软底	也称为虚底或水底酱层厚。由于水底有一层较厚且松软的沉淀物质，形成软底。垂钩时，在正常找底之后，用比重稍大一点的或硬一些的钓饵再一次找底，以便确定水底是软底还是实底。比如说，用比重轻的饵调五钓五，换上比重大的饵，在原钓位不移动浮漂的前提下，浮漂没入水中，即说明此钓点为软底。遇到软底的情况，如果钓得钝一些，饵和钩子的重量再大一点，鱼饵可能会完全陷在软底的酱层中，鱼根本看不见饵。 
塑料	塑料是以单体为原料，通过加聚或缩聚反应聚合而成的高分子化合物(macromolecules)，其抗形变能力中等，介于纤维和橡胶之间，由合成树脂及填料、增塑剂、稳定剂、润滑剂、色料等添加剂组成。塑料的主要成分是树脂。树脂是指尚未和各种添加剂混合的高分子化合物。树脂这一名词最初是由动植物分泌出的脂质而得名，如松香、虫胶等。树脂约占塑料总重量的40%～100%。塑料的基本性能主要决定于树脂的本性，但添加剂也起着重要作用。有些塑料基本上是由合成树脂所组成，不含或少含添加剂，如有机玻璃、
迷彩	最早的军服没有统一的颜色要求，如西欧中世纪时期，出现了属于贵族的私人性质军队———骑士式骑兵。他们自备服装，没有统一的军服，服装的颜色也是多种多样，作战时，常常敌我难辨，往往误伤自己人，不利作战。到了15世纪，西欧出现了雇佣军，才出现了军服。路易十四时期，法国正式规定了统一的军服，而且不同兵种军服颜色不同：禁卫军穿白色军服，龙骑兵穿红色军服，步兵穿灰色军服。同时，各色军服上的佩饰艳丽，十分醒目。 作战服装用伪装迷彩，是隐蔽自己、消灭敌人的需要。这是在战争中不断总结经验而逐步发展起来的如狙击手所穿的吉利服。
滋润	1.湿润,不干燥。2. 用食物或营养品供应。3.浸润;使湿润。4.增加水分，使不干涸。5.来形容人的生活比较舒适。
烘焙	烘焙，又称为烘烤、焙烤，是指在物料燃点之下通过干热的方式使物料脱水变干变硬的过程。烘焙是面包、蛋糕类产品制作不可缺少的步骤，通过烘焙后淀粉产生糊化、蛋白质变性等一系列化学变化后，面包、蛋糕达到熟化的目的。也能使食物的口感发生变化。
改装	改装（gǎi zhuāng），词语，有改变设备原来的结构、装置；改变包装；改变装束等意思。
长裙	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
原味	原味是一种味道，指事物本来特有的味道没有经过人为添加的味道。多指食物原始的的味道。如，原味牛奶，原味瓜子，原味咖啡，原味薯片等……
糕点	糕点(Cakes and Pastries)是一种食品。它是以面粉或米粉、糖、油脂、蛋、乳品等为主要原料，配以各种辅料、馅料和调味料，初制成型，再经蒸、烤、炸、炒等方式加工制成。
桌面	桌面（Desktop），是指打开计算机并成功登录系统之后看到的显示器主屏幕区域，是计算机用语。桌面的定义广泛，它包括任务栏和Windows边栏及“开始”按钮 。边栏包含称为小工具的小程序，而“开始”按钮可以访问程序、文件夹和计算机设置。桌面文件一般存放在C盘，用户名下的“桌面”文件夹内。桌面也可以指传统意义上的书桌或者写字台表面。
办公	办公是一个汉语词汇，拼音是bàngōng，意思是处理公事，处理公务。语出《二十年目睹之怪现状》第十回：“他的意思，还以为那包探、巡捕是办公的人，一定公正的呢。” 
饼干	饼干的词源是“烤过两次的面包”，是从法语的bis（再来一次）和cuit（烤）中由来的。它是用面粉和水或牛奶不放酵母而烤出来的，可作为旅行、航海、登山时的储存食品，在战争时期用于军人们的备用食品也是非常方便适用的。初期饼干的产业是上述所说的长期的航海或战争中的紧急食品的概念，它开始是以HandMade-Type(手工形态)传播，产业革命以后因机械技术的发达，饼干的制作设备及技术迅速发展，扩散到全世界各地。饼干类包含饼干（Biscuit），曲奇饼干（Cookies），苏打饼干（Cracker）和披萨饼干（Pizza）等等。
童鞋	儿童穿的鞋子（儿童的年龄范围定义很广，一般在0-16岁之间）。童鞋是专门为这个年龄段的人而设计的，并依据这个年龄段的孩子脚的生长发育特点而设计适合他们穿着的鞋子，讲究轻巧、透气、舒适、适合脚型健康生长等特点。
小型	小型，详细解释指形状或规模小。
电动	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
灯具	灯具，是指能透光、分配和改变光源光分布的器具，包括除光源外所有用于固定和保护光源所需的全部零部件，以及与电源连接所必需的线路附件。
骑行	骑行是一种健康自然的运动旅游方式 ，能充分享受旅行过程之美 。一辆单车，一个背包即可出行 ，简单又环保。在不断而来的困难当中体验挑战，在旅途的终点体验成功。骑行可以改善记忆力。不论是对于记忆力较强还是较弱的人来说，骑自行车都具有提高记忆力的作用，缓解帕金森，骑车可以改善与运动有关的大脑区域的活动情况。骑行也可以防癌。日常缺乏运动，就是容易致癌的不良行为之一。长期坚持骑自行车可增强心血管功能，尤其是有氧运动，提高人体新陈代谢和免疫力，起到健身防癌的作用。
撞色	撞色是指对比色搭配，包括强烈色配合或者补色配合。强烈色配合指两个相隔较远的颜色相配，如：黄色与紫色，红色与青绿色，这种配色比较强烈；补色配合指两个相对的颜色的配合，如：红与绿，青与橙，黑与白等。撞色成了许多设计师表达"自信与活力，活出自己的个性，张扬自己的气魄"这一主题的不二选择。
衣柜	衣柜是收纳存放衣物的柜具，通常以不锈钢、实木、钢化玻璃、五金配件为材料，一般以柜体、门板、静音轮子、门帘为组件，内置挂衣杆、裤架、拉篮、消毒灯具等配件，采用冲孔、装配、压铆、焊接等工艺，具有阻燃、防鼠、无缝防蟑螂、防尘、防蛀、防潮、洁净美观、移动方便等作用，有大容量智能消毒衣柜、无电源通玻柜、不锈钢衣柜、紫外线消毒保洁衣柜、防潮多功能衣柜、男女更衣柜、干燥防蟑螂衣柜、折叠衣柜、简易衣柜。常见的分为平开门，柜内与柜外推拉门等，衣柜所用的板材一般有不锈钢、金属、木材等，是家庭常用的家具之一。一般衣柜柜体由18mm厚的材料来做（刨花板、密度板、实木板、复合多层板、指接板）；而门板（移门则由9mm的木质材料《UV板，双饰面板，波浪板，百叶板，彩绘板》或者5mm的玻璃移门；平开门一般用16mm或者18mm的材料来做）；一般情况五金对于衣柜生产厂家来说，是配套的，自己不生产。也有少数商家自己生产衣柜所
